text,href
Class 11 Notes,https://www.geeksforgeeks.org/cbse-class-11-physics-notes/?ref=ghm
Class 12 Notes,https://www.geeksforgeeks.org/cbse-notes-class-12-physics/?ref=ghm
Class 8 Notes,https://www.geeksforgeeks.org/cbse-class-8-chemistry-notes/?ref=ghm
Class 9 Notes,https://www.geeksforgeeks.org/cbse-class-9-chemistry-notes/?ref=ghm
Class 10 Notes,https://www.geeksforgeeks.org/cbse-class-10-chemistry-notes/?ref=ghm
Class 11 Notes,https://www.geeksforgeeks.org/cbse-notes-class-11-chemistry/?ref=ghm
Class 12 Notes,https://www.geeksforgeeks.org/cbse-notes-class-12-chemistry/?ref=ghm
Class 8,https://www.geeksforgeeks.org/cbse-class-8-biology-syllabus/?ref=ghm
Class 9,https://www.geeksforgeeks.org/class-9-biology-syllabus/?ref=ghm
Class 10,https://www.geeksforgeeks.org/class-10-biology-syllabus/?ref=ghm
Class 11,https://www.geeksforgeeks.org/cbse-class-11-biology-notes/?ref=ghm
Class 12,https://www.geeksforgeeks.org/cbse-notes-class-12-biology/?ref=ghm
Class 7 SS Syllabus,https://www.geeksforgeeks.org/cbse-syllabus-for-class-7-social-science/?ref=ghm
Class 8 SS Syllabus,https://www.geeksforgeeks.org/cbse-syllabus-for-class-8-social-science/?ref=ghm
Class 9 SS Syllabus,https://www.geeksforgeeks.org/cbse-syllabus-for-class-9-social-science/?ref=ghm
Class 10 SS Syllabus,https://www.geeksforgeeks.org/cbse-class-10-social-science-syllabus/?ref=ghm
Class 7 Notes,https://www.geeksforgeeks.org/class-7-social-science-notes/?ref=ghm
Class 8 Notes,https://www.geeksforgeeks.org/cbse-class-8-social-science-civics-notes/?ref=ghm
Class 9 Notes,https://www.geeksforgeeks.org/cbse-class-9-social-science-revision-notes/?ref=ghm
Class 10 Notes,https://www.geeksforgeeks.org/cbse-class-10-social-science-notes/?ref=ghm
History Class 7,https://www.geeksforgeeks.org/class-7-social-science-history/?ref=ghm
History Class 8,https://www.geeksforgeeks.org/cbse-class-8-social-science-history-notes/?ref=ghm
History Class 9,https://www.geeksforgeeks.org/class-9-social-science-history-notes/?ref=ghm
Geo. Class 7,https://www.geeksforgeeks.org/cbse-class-7-geography-notes/?ref=ghm
Geo. Class 8,https://www.geeksforgeeks.org/class-8-social-science-geography/?ref=ghm
Geo. Class 9,https://www.geeksforgeeks.org/class-9-social-science-geography-notes/?ref=ghm
Civics Class 7,https://www.geeksforgeeks.org/cbse-class-7-civics-notes/?ref=ghm
Civics Class 8,https://www.geeksforgeeks.org/cbse-class-8-social-science-civics-notes/?ref=ghm
Maths,https://www.geeksforgeeks.org/cbse-class-12-maths-previous-year-paper-2022/?ref=ghm
Physics,https://www.geeksforgeeks.org/cbse-previous-year-question-papers-class-12-physics/?ref=ghm
History,https://www.geeksforgeeks.org/cbse-previous-year-question-papers-class-12-history/?ref=ghm
Georgraphy,https://www.geeksforgeeks.org/cbse-previous-year-question-paper-class-12-geography/?ref=ghm
Political Science,https://www.geeksforgeeks.org/cbse-previous-year-question-papers-class-12-political-science/?ref=ghm
Economics,https://www.geeksforgeeks.org/cbse-previous-year-question-papers-class-12-economics/?ref=ghm
Class 11th Notes,https://www.geeksforgeeks.org/cbse-class-11-business-studies-notes/?ref=ghm
Class 12th Notes,https://www.geeksforgeeks.org/cbse-class-12-business-studies-notes/?ref=ghm
Business Studies Complete Guide,https://www.geeksforgeeks.org/business-studies/?ref=ghm
Class 11th Notes,https://www.geeksforgeeks.org/cbse-class-11-accountancy-notes/?ref=ghm
Class 12th Notes,https://www.geeksforgeeks.org/cbse-class-12-accountancy-notes/?ref=ghm
Accountancy Complete Guide,https://www.geeksforgeeks.org/accountancy/?ref=ghm
Class 11th Notes,https://www.geeksforgeeks.org/cbse-class-11-microeconomics-notes/?ref=ghm
Microeconomics Complete Guide,https://www.geeksforgeeks.org/microeconomics/?ref=ghm
Class 11th Notes,https://www.geeksforgeeks.org/cbse-class-11-statistics-for-economics-notes/?ref=ghm
Statistics for Economics Complete Guide,https://www.geeksforgeeks.org/statistics-for-economics/?ref=ghm
Class 12th notes,https://www.geeksforgeeks.org/cbse-class-12-macroeconomics-notes/?ref=ghm
Macroeconomics Complete Guide,https://www.geeksforgeeks.org/macroeconomics/?ref=ghm
Class 12th Notes,https://www.geeksforgeeks.org/cbse-class-12-indian-economic-development-notes/?ref=ghm
Indian Economic Development Complete Guide,https://www.geeksforgeeks.org/indian-economic-development/?ref=ghm
Management,https://www.geeksforgeeks.org/management/?ref=ghm
Income Tax,https://www.geeksforgeeks.org/income-tax/?ref=ghm
Finance,https://www.geeksforgeeks.org/finance/?ref=ghm
Economics - Paper 2020 Set 2 (58/2/2),https://www.geeksforgeeks.org/cbse-class-12-economics-solved-question-paper-2020-set-2-58-2-2/?ref=ghm
Economics - Paper 2020 Set 2,https://www.geeksforgeeks.org/cbse-class-12-economics-solved-question-paper-2020-set-2/?ref=ghm
Economics - Paper 2020 Set (58/1/3),https://www.geeksforgeeks.org/class-12-economics-solved-question-paper-2020-set-58-1-3/?ref=ghm
Economics - Paper 2020 Set (58/1/2),https://www.geeksforgeeks.org/cbse-class-12-economics-solved-question-paper-2020-set-58-1-2/?ref=ghm
"Accountancy - Paper Code: 67/1/1, 2020",https://www.geeksforgeeks.org/cbse-class-12-accountancy-solved-question-paper-paper-code-67-1-1-2020/?ref=ghm
"Accountancy - Paper Code: 67/1/2, 2020",https://www.geeksforgeeks.org/cbse-class-12-accountancy-solved-question-paper-paper-code-67-1-2-2020/?ref=ghm
"Accountancy - Paper Code: 67/1/3, 2020",https://www.geeksforgeeks.org/cbse-class-12-accountancy-solved-question-paper-paper-code-67-1-3-2020/?ref=ghm
"Accountancy - Paper Code: 67/2/1, 2020",https://www.geeksforgeeks.org/cbse-class-12-accountancy-solved-question-paper-67-2-1-2020/?ref=ghm
"Accountancy - Paper Code: 67/2/2, 2020",https://www.geeksforgeeks.org/cbse-class-12-accountancy-solved-question-paper-67-2-2/?ref=ghm
"Accountancy - Paper Code: 67/2/3, 2020",https://www.geeksforgeeks.org/cbse-class-12-accountancy-solved-question-paper-paper-code-67-2-3-2020/?ref=ghm
"Accountancy - Paper Code: 67/4/1, 2020",https://www.geeksforgeeks.org/cbse-class-12-accountancy-solved-question-paper-67-4-1-2020/?ref=ghm
Business Studies - Paper-2019 Set 1,https://www.geeksforgeeks.org/cbse-class-12-business-studies-solved-question-paper-2019-set-1/?ref=ghm
Business Studies - Paper 2019 Code (66-2-1),https://www.geeksforgeeks.org/cbse-class-12-business-studies-solved-question-paper-2019-code-66-2-1/?ref=ghm
Business Studies - Paper-2020 Set 1,https://www.geeksforgeeks.org/cbse-business-studies-question-paper-2020-set-1/?ref=ghm
Business Studies - Paper-2020 Set 2,https://www.geeksforgeeks.org/cbse-class-12-business-studies-solved-question-paper-2020-set-2/?ref=ghm
Economics - Paper 2020 Set 1,https://www.geeksforgeeks.org/cbse-class-12-economics-solved-question-paper-2020-set-1/?ref=ghm
Economics - Paper 2020 Set 2 (58/2/3),https://www.geeksforgeeks.org/cbse-class-12-economics-solved-question-paper-2020-set-2-58-2-3/?ref=ghm
Economics - Paper 2020 Set 3,https://www.geeksforgeeks.org/cbse-class-12-economics-solved-question-paper-2020-set-3/?ref=ghm
Economics - Paper 2020 Set 3 (58/3/2),https://www.geeksforgeeks.org/cbse-class-12-economics-solved-question-paper-2020-set-3-58-3-2/?ref=ghm
Economics - Paper 2020 Set 3 (58/3/3),https://www.geeksforgeeks.org/cbse-class-12-economics-solved-question-paper-2020-set-3-58-3-3/?ref=ghm
Economics - Paper 2020 Set 4 (58/4/1),https://www.geeksforgeeks.org/cbse-class-12-economics-solved-question-paper-2020-set-4-code-no-58-4-1/?ref=ghm
Economics - Paper 2020 Set 4 (58/4/2),https://www.geeksforgeeks.org/cbse-class-12-economics-solved-question-paper-2020-set-4-58-4-2/?ref=ghm
Economics - Paper 2020 Set 4 (58/4/3),https://www.geeksforgeeks.org/cbse-class-12-economics-solved-question-paper-2020-set-4-58-4-3/?ref=ghm
Economics - Paper 2020 Set 5 (58/5/1),https://www.geeksforgeeks.org/cbse-class-12-economics-solved-question-paper-2020-set-5-58-5-1/?ref=ghm
Economics - Paper 2020 Set 5 (58/5/2),https://www.geeksforgeeks.org/cbse-class-12-economics-solved-question-paper-2020-set-5-58-5-2/?ref=ghm
Economics - Paper 2020 Set 5 (58/5/3),https://www.geeksforgeeks.org/cbse-class-12-economics-solved-question-paper-2020-set-5-58-5-3/?ref=ghm
Commerce Complete Guide,https://www.geeksforgeeks.org/commerce/?ref=ghm
GATE 2024 Live Course,https://practice.geeksforgeeks.org/courses/gate-live-course?utm_source=geeksforgeeks&utm_medium=main_header&utm_campaign=courses
GATE Computer Science Notes,https://www.geeksforgeeks.org/gate-cs-notes-gq/?ref=ghm
Last Minute Notes,https://www.geeksforgeeks.org/lmns-gq/?ref=ghm
GATE CS Solved Papers,https://www.geeksforgeeks.org/gate-corner-2-gq/?ref=ghm
GATE CS Original Papers and Official Keys,https://www.geeksforgeeks.org/original-gate-previous-year-question-papers-cse-and-it-gq/?ref=ghm
GATE CS 2023 Syllabus,https://www.geeksforgeeks.org/gate-cse-syllabus-2023/?ref=ghm
Important Topics for GATE CS,https://www.geeksforgeeks.org/important-topics-prepare-gate-2020-computer-science-paper/?ref=ghm
GATE 2023 Important Dates,https://www.geeksforgeeks.org/gate-2023-exam-dates/?ref=ghm
ISRO CS Original Papers and Official Keys,https://www.geeksforgeeks.org/isro-original-papers-official-keys/?ref=ghm
ISRO CS Solved Papers,https://www.geeksforgeeks.org/isro-cs-preparation/?ref=ghm
ISRO CS Syllabus for Scientist/Engineer Exam,https://www.geeksforgeeks.org/isro-cse-syllabus-scientistengineer-exam-2018/?ref=ghm
UGC NET CS Notes Paper II,https://www.geeksforgeeks.org/ugc-net-cs-notes-according-to-syllabus-of-paper-ii/?ref=ghm
UGC NET CS Notes Paper III,https://www.geeksforgeeks.org/ugc-net-cs-notes-according-to-syllabus-of-paper-iii-core-group/?ref=ghm
UGC NET CS Solved Papers,https://www.geeksforgeeks.org/ugc-net-cs-preparation/?ref=ghm
RRB Clerk 2023 Exam,https://www.geeksforgeeks.org/ibps-rrb-clerk-2023/?ref=ghm
SBI Clerk Syllabus,https://www.geeksforgeeks.org/sbi-clerk-syllabus-2022/?ref=ghm
General Awareness,https://www.geeksforgeeks.org/sbi-clerk-general-awareness-syllabus/?ref=ghm
English,https://www.geeksforgeeks.org/sbi-clerk-english-syllabus-2022/?ref=ghm
Quantitative Aptitude,https://www.geeksforgeeks.org/sbi-clerk-quantitative-aptitude-syllabus-2022/?ref=ghm
Reasoning Ability,https://www.geeksforgeeks.org/sbi-clerk-reasoning-ability-syllabus/?ref=ghm
SBI Clerk Practice Papers,https://www.geeksforgeeks.org/sbi-clerk-practice-papers/?ref=ghm
SBI PO Syllabus,https://www.geeksforgeeks.org/sbi-po-syllabus-2022/?ref=ghm
General Awareness,https://www.geeksforgeeks.org/sbi-po-general-awareness-2022/?ref=ghm
English,https://www.geeksforgeeks.org/sbi-po-english-syllabus/?ref=ghm
Quantitative Aptitude,https://www.geeksforgeeks.org/sbi-po-quantitative-aptitude-2022/?ref=ghm
Reasoning Ability,https://www.geeksforgeeks.org/sbi-po-reasoning-syllabus/?ref=ghm
Previous Year Papers,https://www.geeksforgeeks.org/sbi-po-previous-year-papers/?ref=ghm
SBI PO Practice Papers,https://www.geeksforgeeks.org/sbi-po-practice-papers/?ref=ghm
IBPS PO 2022 Syllabus,https://www.geeksforgeeks.org/syllabus-of-ibps-po-2022/?ref=ghm
English Notes,https://www.geeksforgeeks.org/ibps-po-english-syllabus/?ref=ghm
Reasoning Notes,https://www.geeksforgeeks.org/reasoning-syllabus-for-ibps-po/?ref=ghm
Previous Year Papers,https://www.geeksforgeeks.org/ibps-po-previous-year-papers/?ref=ghm
Mock Question Papers,https://www.geeksforgeeks.org/ibps-po-mock-question-paper-2022/?ref=ghm
General Awareness,https://www.geeksforgeeks.org/general-awareness-for-ibps-po-bank-exam/?ref=ghm
IBPS Clerk Syllabus,https://www.geeksforgeeks.org/detailed-syllabus-of-ibps-clerk/?ref=ghm
English Notes,https://www.geeksforgeeks.org/english-syllabus-of-ibps-clerk-exam/?ref=ghm
Previous Year Papers,https://www.geeksforgeeks.org/ibps-clerk-previous-year-question-papers/?ref=ghm
Geography Notes,https://www.geeksforgeeks.org/important-topics-of-geography-for-upsc/?ref=ghm
Modern Indian History Notes,https://www.geeksforgeeks.org/modern-indian-history-notes-upsc/?ref=ghm
Medieval Indian History Notes,https://www.geeksforgeeks.org/medieval-history-notes-upsc/?ref=ghm
Ancient Indian History Notes,https://www.geeksforgeeks.org/ancient-history-notes-upsc/?ref=ghm
Complete History Notes,https://www.geeksforgeeks.org/important-topics-of-history-for-upsc/?ref=ghm
Science & Tech. Notes,https://www.geeksforgeeks.org/important-topics-of-science-and-technology-for-upsc/?ref=ghm
Ethics Notes,https://www.geeksforgeeks.org/important-topics-in-ethics-for-upsc/?ref=ghm
Polity Notes,https://www.geeksforgeeks.org/important-topics-in-polity-for-upsc/?ref=ghm
Economics Notes,https://www.geeksforgeeks.org/indian-economy-notes-upsc/?ref=ghm
Government Schemes (Updated),https://www.geeksforgeeks.org/list-of-important-government-schemes-in-india/?ref=ghm
UPSC Previous Year Papers,https://www.geeksforgeeks.org/upsc-previous-year-papers/?ref=ghm
SSC CGL Syllabus,https://www.geeksforgeeks.org/ssc-cgl-syllabus-2022/?ref=ghm
General Studies,https://www.geeksforgeeks.org/ssc-cgl-general-studies-syllabus/?ref=ghm
English,https://www.geeksforgeeks.org/ssc-cgl-english-syllabus/?ref=ghm
Reasoning,https://www.geeksforgeeks.org/ssc-reasoning-syllabus/?ref=ghm
Subjectwise Practice Papers,https://www.geeksforgeeks.org/ssc-cgl-practice-papers/?ref=ghm
Previous Year Papers,https://www.geeksforgeeks.org/ssc-cgl-previous-year-papers/?ref=ghm
Campus Ambassador Program,https://www.geeksforgeeks.org/campus-ambassador-program-by-geeksforgeeks/?ref=ghm
School Ambassador Program,https://www.geeksforgeeks.org/school-ambassador/?ref=ghm
Project,https://www.geeksforgeeks.org/computer-science-projects/?ref=ghm
Geek of the Month,https://www.geeksforgeeks.org/geek-of-the-month/?ref=ghm
Campus Geek of the Month,https://www.geeksforgeeks.org/campus-geek-of-the-month/?ref=ghm
Placement Course,https://www.geeksforgeeks.org/placements-gq/?ref=ghm
Competitive Programming,https://www.geeksforgeeks.org/competitive-programming-a-complete-guide/?ref=ghm
Testimonials,https://www.geeksforgeeks.org/testimonials/?ref=ghm
Student Chapter,https://www.geeksforgeeks.org/geeksforgeeks-student-chapter/?ref=ghm
Geek on the Top,https://www.geeksforgeeks.org/category/geek-on-the-top/?ref=ghm
Internship,https://www.geeksforgeeks.org/internship/?ref=ghm
Careers,https://www.geeksforgeeks.org/careers/?ref=ghm
Get Hired: Apply for Jobs,https://www.geeksforgeeks.org/jobs
Job-a-thon: Hiring Challenge,https://practice.geeksforgeeks.org/events/rec/job-a-thon?utm_source=geeksforgeeks&utm_medium=main_header&utm_campaign=jobs
Recruiter Dashboard,https://www.geeksforgeeks.org/hire-with-us/dashboard
Corporate Hiring Solutions,https://www.geeksforgeeks.org/job-a-thon/
All DSA Problems,https://practice.geeksforgeeks.org/explore?page=1&sortBy=submissions&utm_source=geeksforgeeks&utm_medium=main_header&utm_campaign=practice_header
Problem of the Day,https://practice.geeksforgeeks.org/problem-of-the-day?utm_source=geeksforgeeks&utm_medium=main_header&utm_campaign=practice_header
GFG SDE Sheet,https://practice.geeksforgeeks.org/explore?page=1&curated[]=1&sortBy=submissions&curated_names[]=SDE%20Sheet?utm_source=geeksforgeeks&utm_medium=main_header&utm_campaign=practice_header
Beginner's DSA Sheet,https://practice.geeksforgeeks.org/explore?page=1&curated[]=8&sortBy=submissions&curated_names[]=Beginner%27s%20DSA%20Sheet&utm_medium=main_header&utm_campaign=practice_header
Love Babbar Sheet,https://practice.geeksforgeeks.org/explore?page=1&curated[]=7&sortBy=submissions&curated_names[]=Love%20Babbar%20Sheet&utm_medium=main_header&utm_campaign=practice_header
Top 50 Array Problems,https://practice.geeksforgeeks.org/explore?page=1&curated[]=2&sortBy=submissions&curated_names[]=Top%2050%20Array%20Problems&utm_medium=main_header&utm_campaign=practice_header
Top 50 String Problems,https://practice.geeksforgeeks.org/explore?page=3&curated[]=3&sortBy=submissions&curated_names[]=Top%2050%20String%20Problems&utm_medium=main_header&utm_campaign=practice_header
Top 50 Tree Problems,https://practice.geeksforgeeks.org/explore?page=1&curated[]=6&sortBy=submissions&curated_names[]=Top%2050%20Tree%20Problems&utm_medium=main_header&utm_campaign=practice_header
Top 50 Graph Problems,https://practice.geeksforgeeks.org/explore?page=1&curated[]=5&sortBy=submissions&curated_names[]=Top%2050%20Graph%20Problems&utm_medium=main_header&utm_campaign=practice_header
Top 50 DP Problems,https://practice.geeksforgeeks.org/explore?page=1&curated[]=4&sortBy=submissions&curated_names[]=Top%2050%20DP%20Problems&utm_medium=main_header&utm_campaign=practice_header
GFG Weekly Coding Contest,https://practice.geeksforgeeks.org/events/rec/interview-series?utm_source=geeksforgeeks&utm_medium=main_header&utm_campaign=contests
Job-A-Thon: Hiring Challenge,https://practice.geeksforgeeks.org/events/rec/job-a-thon?utm_source=geeksforgeeks&utm_medium=main_header&utm_campaign=contests
BiWizard School Contest,https://practice.geeksforgeeks.org/events/rec/step-up-coding-school?utm_source=geeksforgeeks&utm_medium=main_header&utm_campaign=contests
All Contests and Events,https://practice.geeksforgeeks.org/events?utm_source=geeksforgeeks&utm_medium=main_header&utm_campaign=contests
Home,https://www.geeksforgeeks.org/?ref=ghm
Saved Videos,https://www.geeksforgeeks.org/videos/watchlist/?ref=ghm
Courses,https://practice.geeksforgeeks.org/courses?utm_source=geeksforgeeks&utm_medium=main_header&utm_campaign=courses
GBlog,https://www.geeksforgeeks.org/category/guestblogs/?ref=ghm
Puzzles,https://www.geeksforgeeks.org/puzzles/?ref=ghm
What's New ?,https://www.geeksforgeeks.org/geeks-classes-geeksforgeeks/?ref=ghm
Trending Now,https://www.geeksforgeeks.org/trending/?ref=shm
Data Structures,https://www.geeksforgeeks.org/data-structures/?ref=shm
Algorithms,https://www.geeksforgeeks.org/fundamentals-of-algorithms/?ref=shm
DSA to Development,https://www.geeksforgeeks.org/courses/dsa-to-development-coding-guide?itm_source=gfg_submenu&itm_medium=Home&itm_campaign=dsatodev_Submenu&ref=shm
Data Science,https://www.geeksforgeeks.org/courses/data-science-live?itm_source=GfG&itm_medium=gfg_submenu&itm_campaign=DS_Submenu/&ref=shm
Topic-wise Practice,https://practice.geeksforgeeks.org/explore?page=1&sortBy=submissions
Python,https://www.geeksforgeeks.org/python-programming-language/?ref=shm
Machine Learning,https://www.geeksforgeeks.org/machine-learning/?ref=shm
JavaScript,https://www.geeksforgeeks.org/learn-javascript-js-roadmap-for-beginners/?ref=shm
Java,https://www.geeksforgeeks.org/java/?ref=shm
C,https://www.geeksforgeeks.org/c-programming-language/?ref=shm
C++,https://www.geeksforgeeks.org/c-plus-plus/?ref=shm
ReactJS,https://www.geeksforgeeks.org/learn-reactjs/?ref=shm
NodeJS,https://www.geeksforgeeks.org/nodejs/?ref=shm
Competitive Programming,https://www.geeksforgeeks.org/courses/competitive-programming-live?itm_source=GfG&itm_medium=gfg_submenu&itm_campaign=DS_Submenu/&ref=shm
Aptitude,https://www.geeksforgeeks.org/aptitude-questions-and-answers/?ref=shm
Master Sheet,https://www.geeksforgeeks.org/geeksforgeeks-master-sheet-list-of-all-cheat-sheets/?ref=shm
Puzzles,https://www.geeksforgeeks.org/puzzles/?ref=shm
Projects,https://www.geeksforgeeks.org/computer-science-projects?ref=shm
Try It!,https://practice.geeksforgeeks.org/explore?page=1&sortBy=submissions&utm_source=gfg&utm_medium=search-bar&utm_campaign=practice-search
,https://www.geeksforgeeks.org/
feedback@geeksforgeeks.org,mailto:feedback@geeksforgeeks.org
,https://www.facebook.com/geeksforgeeks.org/
,https://www.instagram.com/geeks_for_geeks/
,https://in.linkedin.com/company/geeksforgeeks
,https://twitter.com/geeksforgeeks
,https://www.youtube.com/geeksforgeeksvideos
,https://geeksforgeeksapp.page.link/gfg-app
,https://geeksforgeeksapp.page.link/gfg-app
About Us,https://www.geeksforgeeks.org/about/
Legal,https://www.geeksforgeeks.org/legal/
Careers,https://geeksforgeeks.zohorecruit.in/careers
In Media,https://www.geeksforgeeks.org/press-release/
Contact Us,https://www.geeksforgeeks.org/about/contact-us/
Advertise with us,https://www.geeksforgeeks.org/advertise-with-us/
Job-A-Thon Hiring Challenge,https://practice.geeksforgeeks.org/events/rec/job-a-thon
Hack-A-Thon,https://practice.geeksforgeeks.org/hackathon/ecotech-hacks-for-sustainable-tomorrow-hackathon
GfG Weekly Contest,https://practice.geeksforgeeks.org/events/rec/gfg-weekly-coding-contest?utm_source=geeksforgeeks&utm_medium=footer&utm_campaign=gfgweekly
Offline Classes (Delhi/NCR),https://www.geeksforgeeks.org/courses/category/all?courseType=offline
DSA in JAVA/C++,https://www.geeksforgeeks.org/courses/dsa-self-paced?utm_source=geeksforgeeks&utm_medium=footer&utm_campaign=course
Master System Design,https://www.geeksforgeeks.org/courses/mastering-system-design-low-level-to-high-level-solutions?utm_source=geeksforgeeks&utm_medium=footer&utm_campaign=course
Master CP,https://www.geeksforgeeks.org/courses/competitive-programming-cp?utm_source=geeksforgeeks&utm_medium=footer&utm_campaign=course
Languages,https://www.geeksforgeeks.org/introduction-to-programming-languages/?ref=footer
Python,https://www.geeksforgeeks.org/python-programming-language/?ref=footer
Java,https://www.geeksforgeeks.org/java/?ref=footer
C++,https://www.geeksforgeeks.org/c-plus-plus/?ref=footer
PHP,https://www.geeksforgeeks.org/php-tutorials/?ref=footer
GoLang,https://www.geeksforgeeks.org/golang/?ref=footer
SQL,https://www.geeksforgeeks.org/sql-tutorial/?ref=footer
R Language,https://www.geeksforgeeks.org/r-tutorial/?ref=footer
Android Tutorial,https://www.geeksforgeeks.org/android-tutorial/?ref=footer
DSA Concepts,https://www.geeksforgeeks.org/learn-data-structures-and-algorithms-dsa-tutorial/?ref=footer
Data Structures,https://www.geeksforgeeks.org/data-structures/?ref=footer
Arrays,https://www.geeksforgeeks.org/complete-guide-to-arrays-data-structure/?ref=footer
Strings,https://www.geeksforgeeks.org/complete-guide-to-string-data-structure/?ref=footer
Linked List,https://www.geeksforgeeks.org/data-structures/linked-list/?ref=footer
Algorithms,https://www.geeksforgeeks.org/fundamentals-of-algorithms/?ref=footer
Searching,https://www.geeksforgeeks.org/searching-algorithms/?ref=footer
Sorting,https://www.geeksforgeeks.org/sorting-algorithms/?ref=footer
Mathematical,https://www.geeksforgeeks.org/mathematical-and-geometric-algorithms-data-structure-and-algorithm-tutorials/?ref=footer
Dynamic Programming,https://www.geeksforgeeks.org/dynamic-programming/?ref=footer
DSA for Beginners,https://www.geeksforgeeks.org/complete-guide-to-dsa-for-beginners/?ref=footer
Basic DSA Coding Problems,https://www.geeksforgeeks.org/basic-coding-problems-in-dsa-for-beginners/?ref=footer
Complete Roadmap To Learn DSA,https://www.geeksforgeeks.org/complete-roadmap-to-learn-dsa-from-scratch/?ref=footer
DSA for FrontEnd Developers,https://www.geeksforgeeks.org/how-to-get-started-with-dsa-for-frontend-developer-interview/?ref=footer
DSA with JavaScript,https://www.geeksforgeeks.org/learn-data-structures-with-javascript-dsa-tutorial/?ref=footer
Top 100 DSA Interview Problems,https://www.geeksforgeeks.org/top-100-data-structure-and-algorithms-dsa-interview-questions-topic-wise/?ref=footer
All Cheat Sheets,https://www.geeksforgeeks.org/geeksforgeeks-master-sheet-list-of-all-cheat-sheets/?ref=footer
DSA Roadmap by Sandeep Jain,https://www.geeksforgeeks.org/dsa-roadmap-for-beginner-to-advanced-by-sandeep-jain/?ref=footer
Web Development,https://www.geeksforgeeks.org/web-development/?ref=footer
HTML,https://www.geeksforgeeks.org/html/?ref=footer
CSS,https://www.geeksforgeeks.org/css/?ref=footer
JavaScript,https://www.geeksforgeeks.org/learn-javascript-js-roadmap-for-beginners/?ref=footer
Bootstrap,https://www.geeksforgeeks.org/bootstrap/?ref=footer
ReactJS,https://www.geeksforgeeks.org/learn-reactjs/?ref=footer
AngularJS,https://www.geeksforgeeks.org/angularjs/?ref=footer
NodeJS,https://www.geeksforgeeks.org/nodejs/?ref=footer
Express.js,https://www.geeksforgeeks.org/express-js/?ref=footer
Lodash,https://www.geeksforgeeks.org/lodash/?ref=footer
Computer Science,https://www.geeksforgeeks.org/gate-cs-notes-gq/?ref=footer
GATE CS Notes,https://www.geeksforgeeks.org/gate-cs-notes-gq/?ref=footer
Operating Systems,https://www.geeksforgeeks.org/operating-systems/?ref=footer
Computer Network,https://www.geeksforgeeks.org/computer-network-tutorials/?ref=footer
Database Management System,https://www.geeksforgeeks.org/dbms/?ref=footer
Software Engineering,https://www.geeksforgeeks.org/software-engineering/?ref=footer
Digital Logic Design,https://www.geeksforgeeks.org/digital-electronics-logic-design-tutorials/?ref=footer
Engineering Maths,https://www.geeksforgeeks.org/engineering-mathematics-tutorials/?ref=footer
Python,https://www.geeksforgeeks.org/python-programming-language/?ref=footer
Python Programming Examples,https://www.geeksforgeeks.org/python-programming-examples/?ref=footer
Django Tutorial,https://www.geeksforgeeks.org/django-tutorial/?ref=footer
Python Projects,https://www.geeksforgeeks.org/python-projects-beginner-to-advanced/?ref=footer
Python Tkinter,https://www.geeksforgeeks.org/python-tkinter-tutorial/?ref=footer
OpenCV Python Tutorial,https://www.geeksforgeeks.org/opencv-python-tutorial/?ref=footer
Python Interview Question,https://www.geeksforgeeks.org/python-interview-questions/?ref=footer
Data Science With Python,https://www.geeksforgeeks.org/data-science-tutorial/?ref=footer
Data Science For Beginner,https://www.geeksforgeeks.org/data-science-for-beginners/?ref=footer
Machine Learning Tutorial,https://www.geeksforgeeks.org/machine-learning/?ref=footer
Maths For Machine Learning,https://www.geeksforgeeks.org/machine-learning-mathematics/?ref=footer
Pandas Tutorial,https://www.geeksforgeeks.org/pandas-tutorial/?ref=footer
NumPy Tutorial,https://www.geeksforgeeks.org/numpy-tutorial/?ref=footer
NLP Tutorial,https://www.geeksforgeeks.org/natural-language-processing-nlp-tutorial/?ref=footer
Deep Learning Tutorial,https://www.geeksforgeeks.org/deep-learning-tutorial/?ref=footer
DevOps,https://www.geeksforgeeks.org/devops-tutorial/?ref=footer
Git,https://www.geeksforgeeks.org/git-tutorial/?ref=footer
AWS,https://www.geeksforgeeks.org/aws-tutorial/?ref=footer
Docker,https://www.geeksforgeeks.org/docker-tutorial/?ref=footer
Kubernetes,https://www.geeksforgeeks.org/kubernetes-tutorial/?ref=footer
Azure,https://www.geeksforgeeks.org/microsoft-azure/?ref=footer
GCP,https://www.geeksforgeeks.org/google-cloud-platform-tutorial/?ref=footer
Competitive Programming,https://www.geeksforgeeks.org/competitive-programming-a-complete-guide/?ref=footer
Top DSA for CP,https://www.geeksforgeeks.org/top-algorithms-and-data-structures-for-competitive-programming/?ref=footer
Top 50 Tree Problems,https://www.geeksforgeeks.org/top-50-tree-coding-problems-for-interviews?ref=footer
Top 50 Graph Problems,https://www.geeksforgeeks.org/top-50-graph-coding-problems-for-interviews/?ref=footer
Top 50 Array Problems,https://www.geeksforgeeks.org/top-50-array-coding-problems-for-interviews/?ref=footer
Top 50 String Problems,https://www.geeksforgeeks.org/top-50-string-coding-problems-for-interviews/?ref=footer
Top 50 DP Problems,https://www.geeksforgeeks.org/top-50-dynamic-programming-coding-problems-for-interviews/?ref=footer
Top 15 Websites for CP,https://www.geeksforgeeks.org/top-15-websites-for-coding-challenges-and-competitions/?ref=footer
